id,name,category_name,price,quantity_sold
142548548,Genetics 101,Sách nước ngoài,349000,5
106362981,Learn With Ollie Activity Book 2,Sách nước ngoài,83000,109
26594176,Have A Little Faith ,Sách nước ngoài,164680,3
279269994,Sách ngoại văn: English File - Fifth Edition - Pre-Intermediate - Student Book With Digital Pack,Sách nước ngoài,621500,2
279242172,Sách ngoại văn: Sách Ngoại Văn - Giáo trình Speak Now Level 1 - 4,Sách nước ngoài,134000,0
279237562,Cambridge B1 Preliminary (PET),Sách nước ngoài,226000,1
279041122,Sách ngoại văn: In Five Years,Sách nước ngoài,422800,2
278876600,"Sách - Ready for VSTEP – Vocabulary, Phrasal Verbs & Collocations B1 B2 - Tài liệu luyện thi hiệu quả",Sách nước ngoài,175500,5
278825227,Sách - A Brief History of London by Jeremy Black | History Nonfiction / Ngoại văn Nhập khẩu,Sách nước ngoài,350000,2
278732675,Cambridge IELTS 20 General Training,Sách nước ngoài,210000,5
278727726,"Sách - Art Nouveau: Glasgow, Amsterdam, New York by Thomas Hauffe / Art Book in English / Ngoại văn",Sách nước ngoài,680000,2
276827022,Harry Potter and the Cursed Child,Sách nước ngoài,275080,29
276809510,Sách ngoại văn: Empower B1 Pre-Intermediate - Workbook With Answers (2nd Edition),Sách nước ngoài,461100,4
274387490,Sách The P. K. Pinkerton Mysteries: The Case Of The Deadly Desperados,Sách nước ngoài,153000,5
267258546,Harry Potter and the Half-Blood Prince,Sách nước ngoài,309000,4
247902316,Wabi Sabi: Japanese Wisdom For A Perfectly Imperfect Life,Sách nước ngoài,600700,1
243086232,Cambridge Global English Workbook 1 With Digital Access (1 Year) 2nd Edition,Sách nước ngoài,333400,20
197380634,i-Learn Smart Start 2 WorkBook,Sách nước ngoài,81000,86
72702605,Power Up Level 2 Activity Book With Online Resources And Home Booklet,Sách nước ngoài,396300,24
279200936,Novelist as a Vocation,Sách nước ngoài,389000,1
279037718,Sách ngoại văn: Cam Primary Path Foundation - Activity Book With Practice Extra,Sách nước ngoài,636700,1
279032605,Sách ngoại văn: Blue Archive Comic Anthology 4 (Japanese Edition),Sách nước ngoài,297900,1
279029749,Sách ngoại văn: Oga Kazuo Gashu ( Jiburi Ｔｈｅａｒｔ Shiri Zu ),Sách nước ngoài,970400,1
