id,name,category_name,current_discount,current_probability,optimal_discount,optimal_probability,improvement,recommend_change
276285600,Phù thủy và dã thú,Sách tiếng Việt,9,0.041803749438880614,45,0.4243300531803317,0.3825263037414511,True
273349964,Cecilia & Lawrence ( Chọn Tập Lẻ),Sách tiếng Việt,5,0.0347712810359076,45,0.3771121354936564,0.3423408544577488,True
273219497,Series các tập Moriarty the patriot,Sách tiếng Việt,11,0.03567359114637769,45,0.38857046882698965,0.35289687768061195,True
272367381,Sách Trốn Lên Mái Nhà Để Khóc,Sách tiếng Việt,23,0.42682749603297365,23,0.42682749603297365,0.0,False
271916321,"	 Sách Mùa hè không tên (Nguyễn Nhật Ánh) - Tặng kèm Bookmark, Tranh màu",Sách tiếng Việt,20,0.423784429161501,20,0.423784429161501,0.0,False
251255482,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 26 (Tái Bản),Sách tiếng Việt,5,0.011348380079270826,45,0.3539362254926328,0.342587845413362,True
220665663,Sách 30 Tuổi - Mọi Thứ Chỉ Mới Bắt Đầu,Sách tiếng Việt,23,0.5133231847420461,45,0.7563612240747571,0.24303803933271106,True
205942263,Sách Tận Hưởng Hành Trình Nuôi Con Sữa Mẹ,Sách tiếng Việt,25,0.45437071172576365,45,0.7029133219569407,0.24854261023117702,True
202450677,Chú Thuật Hồi Chiến Tập 8,Sách tiếng Việt,7,0.09020407393748427,45,0.37797446503087234,0.2877703910933881,True
192125792,Sách Harry Potter và Hòn đá phù thủy - Tập 1 (Tái Bản 2022) ,Sách tiếng Việt,17,0.3288607189714942,20,0.3944759962551058,0.0656152772836116,True
186286190,Sách Mắt Biếc (Tái Bản 2022),Sách tiếng Việt,16,0.3641445225804168,16,0.3641445225804168,0.0,False
170708233,Sách Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ Atomic Habits (Tái Bản Lần 4),Sách tiếng Việt,21,0.49919960070150665,45,0.6785486135526503,0.17934901285114363,True
168662171,Sách Vừa Nhắm Mắt Vừa Mở Cửa Số,Sách tiếng Việt,16,0.40259069450045865,16,0.40259069450045865,0.0,False
95289208,Sách Người Bà Tài Giỏi Vùng Saga,Sách tiếng Việt,25,0.45502361907727606,25,0.45502361907727606,0.0,False
82996522,Sách Tư Bản Thế Kỷ 21,Sách tiếng Việt,23,0.5201006938093635,45,0.6293256331620944,0.10922493935273092,True
50322710,Sách 48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),Sách tiếng Việt,17,0.32868279099277253,20,0.4473595038017651,0.11867671280899256,True
50263061,Combo Thám Tử Lừng Danh Conan Tập 21 - 30 (Bộ 10 cuốn),Sách tiếng Việt,5,0.3391586120896678,0,0.4391894118279449,0.10003079973827711,True
8886007,Sách Ngàn Mặt Trời Rực Rỡ (Tái Bản),Sách tiếng Việt,23,0.4257111436346294,45,0.6805888800085674,0.254877736373938,True
7369223,Sách Cho Tôi Xin Một Vé Đi Tuổi Thơ,Sách tiếng Việt,24,0.5894578658860885,45,0.7611148350312466,0.17165696914515804,True
3304875,Sách Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Sách tiếng Việt,23,0.38193148850723213,23,0.38193148850723213,0.0,False
1215677,Sách Từ Những Hạt Mầm: Hột Điều Của Sóc,Sách tiếng Việt,23,0.3146821755621066,45,0.4312218495907569,0.11653967402865029,True
997535,Sách Gọi Em Bằng Tên Anh - Call Me By Your Name,Sách tiếng Việt,20,0.5933019695348507,45,0.7850769538060355,0.19177498427118478,True
633125,Sách Lĩnh Nam Chích Quái,Sách tiếng Việt,24,0.5085426470086696,45,0.5998361749079304,0.09129352789926082,True
279358057,Sách Làm Dâu Nhà Giáo,Sách tiếng Việt,31,0.27370301277428105,20,0.42760693441400094,0.1539039216397199,True
279334959,Sách Tiếng Lòng Khó Giấu (Tập 2),Sách tiếng Việt,25,0.35593518187253487,45,0.6615004403627023,0.3055652584901674,True
279292547,Sách Dan Da Dan,Sách tiếng Việt,10,0.03567359114637769,45,0.38857046882698965,0.35289687768061195,True
279236017,Hồn Oda Da Shiba,Sách tiếng Việt,0,0.012019607843137254,0,0.012019607843137254,0.0,False
