id,name,feature_name,feature_name_original,shap_value,feature_value,shap_value_percent
347334,Sách Có Hai Con Mèo Ngồi Bên Cửa Sổ,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.030911346497850226,False,6.7269066855090704
347334,Sách Có Hai Con Mèo Ngồi Bên Cửa Sổ,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",-0.006973622157170014,False,1.5175950201504047
378992,Thần Đồng Đất Việt 159 - Đại Quan Thiếu Gạo,Giá bán,price,0.2568777108216178,9900,47.12583245592864
378992,Thần Đồng Đất Việt 159 - Đại Quan Thiếu Gạo,Điểm đánh giá,rating_average,0.11523381089646285,5.0,21.140367718925745
378992,Thần Đồng Đất Việt 159 - Đại Quan Thiếu Gạo,Có đánh giá,has_rating,0.07621935300783154,1,13.982919920368854
378992,Thần Đồng Đất Việt 159 - Đại Quan Thiếu Gạo,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.051203939895592535,False,9.393684975177935
378992,Thần Đồng Đất Việt 159 - Đại Quan Thiếu Gạo,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.01744186637238037,False,3.199820139141165
378992,Thần Đồng Đất Việt 159 - Đại Quan Thiếu Gạo,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.01647359329642611,True,3.02218435048882
378992,Thần Đồng Đất Việt 159 - Đại Quan Thiếu Gạo,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.008543894843941247,False,1.5674312716693801
378992,Thần Đồng Đất Việt 159 - Đại Quan Thiếu Gạo,Mức giảm giá,discount_rate,-0.0030947925553813115,1,0.5677591682994756
383371,Thần Đồng Đất Việt 16 - Súc Vật Nổi Loạn,Giá bán,price,0.22766410268486353,9900,35.17459595918999
383371,Thần Đồng Đất Việt 16 - Súc Vật Nổi Loạn,Điểm đánh giá,rating_average,0.20181118692836453,4.8,31.180264593912838
383371,Thần Đồng Đất Việt 16 - Súc Vật Nổi Loạn,Có đánh giá,has_rating,0.08201307528698028,1,12.671197402531735
383371,Thần Đồng Đất Việt 16 - Súc Vật Nổi Loạn,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.06612459085915519,False,10.216392215583891
383371,Thần Đồng Đất Việt 16 - Súc Vật Nổi Loạn,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.0243764773491978,False,3.766218440037743
383371,Thần Đồng Đất Việt 16 - Súc Vật Nổi Loạn,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.019537621801574024,True,3.0186047987771722
383371,Thần Đồng Đất Việt 16 - Súc Vật Nổi Loạn,Mức giảm giá,discount_rate,-0.016988167156585507,1,2.6247085454979175
383371,Thần Đồng Đất Việt 16 - Súc Vật Nổi Loạn,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.00872491382283498,False,1.348018044468705
383384,Thần Đồng Đất Việt 21 - Bài Thi Kỳ Quái,Giá bán,price,0.2568777108216178,9900,47.12583245592864
383384,Thần Đồng Đất Việt 21 - Bài Thi Kỳ Quái,Điểm đánh giá,rating_average,0.11523381089646285,5.0,21.140367718925745
383384,Thần Đồng Đất Việt 21 - Bài Thi Kỳ Quái,Có đánh giá,has_rating,0.07621935300783154,1,13.982919920368854
383384,Thần Đồng Đất Việt 21 - Bài Thi Kỳ Quái,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.051203939895592535,False,9.393684975177935
383384,Thần Đồng Đất Việt 21 - Bài Thi Kỳ Quái,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.01744186637238037,False,3.199820139141165
383384,Thần Đồng Đất Việt 21 - Bài Thi Kỳ Quái,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.01647359329642611,True,3.02218435048882
383384,Thần Đồng Đất Việt 21 - Bài Thi Kỳ Quái,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.008543894843941247,False,1.5674312716693801
383384,Thần Đồng Đất Việt 21 - Bài Thi Kỳ Quái,Mức giảm giá,discount_rate,-0.0030947925553813115,1,0.5677591682994756
383385,Thần Đồng Đất Việt 22 - Gánh Hát Xui Xẻo,Điểm đánh giá,rating_average,0.2169296631607427,4.8,32.30814975206074
383385,Thần Đồng Đất Việt 22 - Gánh Hát Xui Xẻo,Giá bán,price,0.21328283687526473,10000,31.765014212023193
383385,Thần Đồng Đất Việt 22 - Gánh Hát Xui Xẻo,Có đánh giá,has_rating,0.07806648216553974,1,11.626734489288928
383385,Thần Đồng Đất Việt 22 - Gánh Hát Xui Xẻo,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.061011973497965964,False,9.08674243863283
383385,Thần Đồng Đất Việt 22 - Gánh Hát Xui Xẻo,Mức giảm giá,discount_rate,-0.06023001396726345,0,8.970282267857256
383385,Thần Đồng Đất Việt 22 - Gánh Hát Xui Xẻo,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.024856207691066674,False,3.701928397667995
383385,Thần Đồng Đất Việt 22 - Gánh Hát Xui Xẻo,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.010338593298631692,False,1.5397655426696455
383385,Thần Đồng Đất Việt 22 - Gánh Hát Xui Xẻo,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.006723679839776627,True,1.0013828997994159
